time,id_s,iq_s,vd_s,vq_s,W,T
0.023,0.788243519,1.860527563,-273.7921803,257.1079709,94.09452165,0.051093002
0.0231,0.757629401,1.889477878,-283.2880898,246.6060113,94.09609777,0.046520575
0.0232,0.725935379,1.917250667,-292.3814315,235.7536112,94.09752389,0.041802977
0.0233,0.693206712,1.943806192,-301.0592832,224.5661922,94.0987954,0.036945856
0.0234,0.65949012,1.969106453,-309.3093131,213.0596524,94.09990789,0.031955114
0.0235,0.624833714,1.99311524,-317.1197976,201.2503432,94.10085713,0.026836889
0.0236,0.589286933,2.015798189,-324.4796375,189.1550462,94.10163911,0.021597556
0.0237,0.55290047,2.037122823,-331.3783741,176.7909496,94.10225003,0.016243715
0.0238,0.5157262,2.057058603,-337.8062039,164.1756233,94.10268629,0.010782182
0.0239,0.477817105,2.075576972,-343.7539926,151.3269945,94.10294453,0.005219983
0.024,0.439227205,2.092651388,-349.213288,138.2633218,94.1030216,-0.000435656
0.0241,0.40001147,2.10825737,-354.1763323,125.0031693,94.10291461,-0.006177321
0.0242,0.360225751,2.122372526,-358.6360726,111.5653804,94.10262089,-0.011997416
0.0243,0.319926698,2.134976588,-362.5861714,97.9690511,94.10213804,-0.017888174
0.0244,0.279171678,2.146051439,-366.0210154,84.23350238,94.10146391,-0.02384167
0.0245,0.238018692,2.155581138,-368.9357236,70.37825324,94.10059658,-0.029849828
0.0246,0.196526298,2.163551941,-371.3261539,56.42299275,94.09953444,-0.035904438
0.0247,0.154753521,2.169952325,-373.1889094,42.3875521,94.0982761,-0.04199716
0.0248,0.112759775,2.174772996,-374.521343,28.29187642,94.09682047,-0.048119542
0.0249,0.070604775,2.178006912,-375.3215614,14.15599643,94.09516673,-0.054263026
0.025,0.028348452,2.179649281,-375.5884272,1.11E-13,94.09331434,-0.060418967
0.0251,-0.01394913,2.179697577,-375.3215614,-14.15599643,94.09126302,-0.066578641
0.0252,-0.056227861,2.178151537,-374.521343,-28.29187642,94.08901281,-0.072733256
0.0253,-0.098427669,2.175013165,-373.1889094,-42.3875521,94.086564,-0.078873972
0.0254,-0.140488607,2.170286727,-371.3261539,-56.42299275,94.08391718,-0.084991904
0.0255,-0.182350937,2.163978742,-368.9357236,-70.37825324,94.08107324,-0.091078145
0.0256,-0.223955215,2.156097976,-366.0210154,-84.23350238,94.07803333,-0.097123771
0.0257,-0.265242376,2.14665543,-362.5861714,-97.9690511,94.07479892,-0.10311986
0.0258,-0.306153816,2.135664317,-358.6360726,-111.5653804,94.07137174,-0.109057502
0.0259,-0.346631477,2.123140053,-354.1763323,-125.0031693,94.06775381,-0.114927814
0.026,-0.386617929,2.109100224,-349.213288,-138.2633218,94.06394747,-0.120721953
0.0261,-0.426056451,2.09356457,-343.7539926,-151.3269945,94.05995531,-0.126431129
0.0262,-0.464891112,2.076554951,-337.8062039,-164.1756233,94.0557802,-0.132046621
0.0263,-0.503066849,2.058095314,-331.3783741,-176.7909496,94.05142533,-0.137559787
0.0264,-0.540529546,2.038211667,-324.4796375,-189.1550462,94.04689411,-0.142962079
0.0265,-0.57722611,2.016932031,-317.1197976,-201.2503432,94.04219029,-0.148245056
0.0266,-0.61310455,1.994286409,-309.3093131,-213.0596524,94.03731783,-0.153400397
0.0267,-0.648114044,1.970306735,-301.0592832,-224.5661922,94.03228099,-0.158419917
0.0268,-0.682205014,1.945026837,-292.3814315,-235.7536112,94.0270843,-0.163295575
0.0269,-0.7153292,1.91848238,-283.2880898,-246.6060113,94.02173251,-0.168019491
0.027,-0.747439722,1.89071082,-273.7921803,-257.1079709,94.01623066,-0.172583955
0.0271,-0.778491151,1.861751351,-263.907197,-267.2445659,94.01058402,-0.176981443
0.0272,-0.808439569,1.831644844,-253.6471873,-277.0013918,94.0047981,-0.181204628
0.0273,-0.837242636,1.800433796,-243.0267309,-286.3645836,93.99887863,-0.18524639
0.0274,-0.864859646,1.768162262,-232.0609203,-295.3208356,93.9928316,-0.189099831
0.0275,-0.891251586,1.734875797,-220.7653385,-303.8574205,93.98666319,-0.192758283
0.0276,-0.916381193,1.700621389,-209.156037,-311.9622074,93.9803798,-0.196215322
0.0277,-0.940213002,1.665447394,-197.2495133,-319.623679,93.97398804,-0.199464778
0.0278,-0.9627134,1.629403463,-185.0626873,-326.8309478,93.96749471,-0.202500745
0.0279,-0.983850672,1.592540476,-172.612877,-333.573772,93.96090679,-0.20531759
0.028,-1.003595045,1.554910465,-159.9177745,-339.8425695,93.95423145,-0.207909966
0.0281,-1.021918732,1.516566546,-146.99542,-345.6284322,93.94747602,-0.210272819
0.0282,-1.038795969,1.477562835,-133.864177,-350.923138,93.94064799,-0.212401395
0.0283,-1.054203053,1.437954379,-120.5427056,-355.7191628,93.93375499,-0.214291256
0.0284,-1.068118373,1.397797072,-107.0499365,-360.0096912,93.92680481,-0.215938278
0.0285,-1.080522444,1.357147578,-93.40504359,-363.7886261,93.91980536,-0.217338666
0.0286,-1.091397929,1.316063251,-79.62741698,-367.0505975,93.91276464,-0.218488961
0.0287,-1.10072967,1.27460205,-65.73663545,-369.7909699,93.9056908,-0.219386041
0.0288,-1.108504702,1.232822462,-51.75243857,-372.0058491,93.89859205,-0.220027133
0.0289,-1.114712276,1.190783414,-37.69469863,-373.6920876,93.89147671,-0.220409819
0.029,-1.119343874,1.148544189,-23.58339247,-374.8472893,93.88435314,-0.220532034
0.0291,-1.122393217,1.106164347,-9.438573024,-375.4698124,93.87722981,-0.220392081
0.0292,-1.123856275,1.063703635,4.719659156,-375.5587723,93.87011519,-0.219988628
0.0293,-1.123731275,1.021221904,18.87118444,-375.1140427,93.86301782,-0.219320714
0.0294,-1.122018702,0.978779025,32.99589274,-374.1362556,93.85594624,-0.218387753
0.0295,-1.118721293,0.9364348,47.07371207,-372.6268003,93.84890902,-0.217189534
0.0296,-1.11384404,0.894248884,61.08463708,-370.587822,93.84191472,-0.215726227
0.0297,-1.107394179,0.852280693,75.00875748,-368.022218,93.83497191,-0.213998381
0.0298,-1.099381178,0.810589324,88.82628633,-364.9336344,93.82808912,-0.212006929
0.0299,-1.089816728,0.769233468,102.5175882,-361.3264601,93.82127483,-0.209753183
